item,room,location
bubble wrap,undulator room,above grey cabinet
scrap foam,undulator room,above grey cabinet
electronic boxes,undulator room,above grey cabinet
thorlabs boxes,undulator room,above grey cabinet
rf hybrid junctions,undulator room,grey cabinet
shim plates 5x5cm,undulator room,grey cabinet
vacuum flanges,undulator room,blue cabinet
zero length adapters,undulator room,blue cabinet
vacuum cubes,undulator room,blue cabinet
vacuum viewports,undulator room,blue cabinet
air solenoid actuators,undulator room,blue cabinet
pressure monitor,undulator room,blue cabinet
programmable current source,undulator room,blue cabinet
vacuum clamps,undulator room,blue cabinet
vacuum nipples,undulator room,brown cabinet
vacuum crosses,undulator room,brown cabinet
vacuum hoses,undulator room,brown cabinet
pink beamline cable,undulator room,brown cabinet
hose clamps,undulator room,brown cabinet
plumbing parts,undulator room,brown cabinet
serial cable 16x3 pin,undulator room,brown cabinet
chroma power supply,undulator room,electronic station
tdk lambda power supply,undulator room,electronic station
spectrum analyzer,undulator room,electronic station
relay switches,undulator room,electronic station
sautering iron,undulator room,electronic station
multimeter,undulator room,electronic station
waveguides,undulator room,80/20 table
power supplies,undulator room,80/20 table
theseus magnets,undulator room,80/20 table
senis probe,undulator room,80/20 table
pmq parts,undulator room,80/20 table
large empty cardboard boxes,undulator room,80/20 table
heater jacket kit,undulator room,80/20 table
silicone sealant,undulator room,80/20 table
barometer,undulator room,80/20 table
empty organization containers,magnet room,by sink
empty tackle boxes,magnet room,by sink
small empty cardboard boxes,magnet room,by sink
theseus vacuum pipes and waveguide pipes,magnet room,by sink
hall probe sensors and controllers,magnet room,wood cabinet
fine wire,magnet room,wood cabinet
thread lubricant,magnet room,wood cabinet
gloves,magnet room,wood cabinet
glue epoxy,magnet room,wood cabinet
solid state camera,magnet room,wood cabinet
old magnets and holders,magnet room,wood cabinet
extra magnets from old designs,magnet room,plastic cabinet
function generator,undulator room,black optic table
pulsed wire parts,undulator room,black optic table
steering magnet parts,undulator room,black optic table
zipties,undulator room,red toolchest
posts and holders,alaser,black cabinet
"one inch (1"") optics and posts",alaser,black cabinet
angled right angle optic brackets,alaser,black cabinet
"two inch (2"") optics and posts",alaser,black cabinet
bnc connectors,control room,work bench organizer
labelmaker tape,control room,work bench organizer
small hose clamps,control room,work bench organizer
rack mount screws,control room,work bench organizer
banana plug wire adapter,control room,work bench organizer
batteries,control room,organizer bins
short cable adapters,control room,organizer bins
stepper motors,control room,organizer bins
small lasers,control room,organizer bins
waveguide gaskets,control room,organizer bins
viton and copper vacuum gaskets,control room,work bench
aluminum foil,control room,work bench
blis interferometer,control room,work bench
newport motion controller,control room,work bench
v blocks,alaser,black cabinet
optic rail breadboards,alaser,black cabinet
translation bases,alaser,black cabinet
weight scale,undulator room,red toolchest
